,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
799,female,group C,associate's degree,standard,none,52,55,57
471,female,group C,high school,standard,none,63,69,74
242,female,group D,high school,standard,none,56,52,55
704,female,group B,some high school,free/reduced,completed,59,63,64
839,female,group C,associate's degree,standard,none,66,77,73
84,male,group D,high school,free/reduced,none,42,39,34
531,female,group C,some high school,standard,none,47,54,53
52,male,group C,some college,standard,none,53,44,42
476,male,group E,bachelor's degree,standard,completed,76,62,66
91,male,group C,high school,free/reduced,none,27,34,36
172,female,group D,some college,standard,none,79,86,81
675,female,group B,some college,standard,completed,50,64,66
558,female,group B,associate's degree,free/reduced,none,53,70,70
532,male,group E,associate's degree,standard,completed,62,61,58
307,male,group C,some high school,standard,none,51,52,44
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
348,male,group D,high school,free/reduced,none,75,74,66
693,female,group D,associate's degree,standard,none,77,77,73
196,male,group C,some high school,free/reduced,completed,59,69,65
570,male,group B,some college,standard,completed,71,75,70
896,male,group B,high school,free/reduced,none,36,29,27
525,male,group E,some college,standard,none,68,60,59
41,female,group C,associate's degree,standard,none,58,73,68
646,female,group D,associate's degree,standard,none,59,70,65
656,male,group C,associate's degree,free/reduced,none,77,67,64
241,female,group E,bachelor's degree,standard,none,80,83,83
847,male,group D,high school,standard,none,64,54,50
217,female,group C,high school,free/reduced,none,34,42,39
246,male,group E,associate's degree,standard,none,89,76,74
939,male,group D,some high school,standard,completed,77,68,69
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
225,female,group E,master's degree,free/reduced,none,45,56,54
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
451,female,group E,some college,standard,none,100,92,97
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
999,female,group D,some college,free/reduced,none,77,86,86
32,female,group E,master's degree,free/reduced,none,56,72,65
946,male,group B,high school,standard,none,82,82,80
330,male,group C,high school,standard,none,71,60,61
322,female,group C,some college,standard,none,71,81,80
661,male,group C,some high school,standard,none,73,66,63
549,male,group C,master's degree,standard,none,79,72,69
802,female,group E,associate's degree,standard,none,87,94,95
825,male,group C,high school,standard,none,62,67,58
30,female,group D,some college,standard,none,69,74,74
188,male,group B,some high school,free/reduced,none,48,52,45
776,female,group B,high school,standard,none,66,72,70
950,male,group E,high school,standard,none,94,73,71
133,female,group C,some college,standard,completed,75,81,84
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
19,female,group C,associate's degree,free/reduced,none,54,58,61
591,male,group A,some high school,standard,none,71,62,50
547,male,group C,high school,standard,completed,72,67,64
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
144,male,group D,some college,standard,none,88,73,78
797,female,group E,associate's degree,free/reduced,none,70,84,81
335,female,group B,some college,free/reduced,none,61,68,66
383,female,group E,some high school,free/reduced,none,38,49,45
260,female,group C,some high school,free/reduced,completed,64,79,77
539,male,group A,associate's degree,standard,completed,97,92,86
984,female,group C,some high school,standard,none,74,75,82
145,female,group C,some college,free/reduced,none,22,39,33
619,male,group C,associate's degree,free/reduced,completed,65,73,68
742,female,group C,high school,standard,none,81,84,82
135,male,group C,bachelor's degree,standard,none,58,55,48
753,female,group C,some high school,standard,completed,77,90,85
275,male,group C,bachelor's degree,standard,none,83,78,73
325,female,group C,some college,standard,none,82,90,94
747,male,group C,some college,standard,none,69,64,68
694,female,group C,some high school,standard,none,49,63,56
943,male,group A,some high school,free/reduced,completed,61,62,61
487,female,group C,associate's degree,free/reduced,none,60,75,74
72,female,group A,associate's degree,free/reduced,none,41,51,48
543,female,group D,associate's degree,standard,none,82,95,89
43,male,group B,some college,free/reduced,completed,59,65,66
224,female,group B,associate's degree,standard,completed,52,66,73
938,male,group D,some college,standard,completed,85,81,85
388,female,group D,high school,standard,none,62,64,64
725,male,group E,some college,standard,completed,81,74,71
373,female,group D,some college,standard,completed,82,97,96
171,male,group E,some high school,standard,none,94,88,78
961,female,group D,some high school,free/reduced,none,48,54,53
290,male,group C,associate's degree,standard,none,76,70,68
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
960,female,group A,some college,standard,none,56,58,64
186,male,group E,high school,standard,none,80,76,65
584,female,group D,some college,standard,none,69,77,77
524,male,group C,high school,standard,completed,53,52,49
311,male,group B,bachelor's degree,standard,none,66,60,57
